                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8254,                 2.8974,                 1.5208,                0.83323,                0.12289,                0.31338,                0.12526,                 2.2718,                 2.7053,                 1.6669,               0.067522,             0.00041111,             0.00041111
                      2,                 1.6834,                 1.6117,                 1.4531,                0.57075,                0.41935,                0.46901,                0.19717,                 2.0783,                 2.1201,                 1.5332,               0.034605,              0.0008277,              0.0008277
                      3,                 1.6434,                 1.4363,                 1.4341,                0.55133,                0.49819,                0.49691,                0.19601,                 2.1473,                 1.7709,                 1.5427,              0.0016886,              0.0012442,              0.0012442
                      4,                 1.6141,                 1.3426,                 1.4179,                 0.5378,                0.47203,                0.50427,                0.24828,                 1.8155,                 1.6416,                  1.402,              0.0012496,              0.0012496,              0.0012496
                      5,                 1.5775,                 1.2579,                 1.3973,                0.67206,                0.54482,                0.59941,                0.29322,                  1.763,                 1.2632,                 1.3762,              0.0012496,              0.0012496,              0.0012496
                      6,                  1.542,                 1.1875,                 1.3676,                 0.7119,                0.56961,                0.63482,                0.32677,                  1.648,                 1.2354,                 1.2969,              0.0012495,              0.0012495,              0.0012495
                      7,                 1.5178,                 1.1312,                 1.3501,                0.73476,                0.63803,                0.69147,                0.35622,                 1.6433,                 1.0558,                 1.2983,              0.0012494,              0.0012494,              0.0012494
                      8,                 1.4906,                 1.0868,                 1.3383,                0.75504,                0.63832,                0.70289,                0.38186,                 1.5352,                 1.0282,                  1.246,              0.0012493,              0.0012493,              0.0012493
                      9,                 1.4695,                 1.0542,                 1.3241,                0.74879,                0.63711,                0.70904,                0.37876,                 1.5242,                  1.029,                  1.237,              0.0012491,              0.0012491,              0.0012491
                     10,                  1.461,                 1.0171,                 1.3161,                0.75687,                0.62982,                0.70089,                0.38679,                 1.4625,                 1.0355,                  1.206,               0.001249,               0.001249,               0.001249
                     11,                 1.4534,                0.99832,                 1.3133,                 0.7594,                0.63749,                0.71018,                0.38499,                 1.5491,                 1.0138,                 1.2427,              0.0012489,              0.0012489,              0.0012489
                     12,                 1.4266,                0.97308,                 1.2946,                0.78323,                0.67063,                 0.7338,                0.36614,                 1.7148,                0.95279,                 1.3182,              0.0012488,              0.0012488,              0.0012488
                     13,                 1.4173,                0.95124,                 1.2879,                0.78076,                0.66125,                0.73009,                0.40204,                 1.4901,                0.94854,                 1.2018,              0.0012486,              0.0012486,              0.0012486
                     14,                 1.4106,                0.93947,                 1.2834,                0.79408,                0.69496,                0.76323,                 0.4251,                 1.4351,                0.87617,                 1.1819,              0.0012485,              0.0012485,              0.0012485
                     15,                 1.4044,                 0.9198,                 1.2754,                0.79649,                0.68404,                0.75507,                0.42503,                 1.4284,                 0.8946,                 1.1781,              0.0012484,              0.0012484,              0.0012484
                     16,                 1.4014,                0.91201,                 1.2756,                0.79809,                0.68883,                 0.7554,                0.41326,                 1.4768,                0.89852,                 1.1968,              0.0012483,              0.0012483,              0.0012483
                     17,                 1.3855,                0.89156,                 1.2685,                0.80865,                0.69525,                0.76391,                0.42438,                 1.4548,                0.88119,                 1.1846,              0.0012481,              0.0012481,              0.0012481
                     18,                 1.3781,                0.88214,                 1.2646,                0.81192,                0.70719,                0.77145,                0.41948,                 1.5165,                0.86634,                 1.2072,               0.001248,               0.001248,               0.001248
                     19,                 1.3703,                0.86644,                 1.2531,                0.80081,                0.68238,                0.75614,                0.43313,                 1.4016,                0.85764,                  1.168,              0.0012479,              0.0012479,              0.0012479
                     20,                 1.3635,                0.85894,                 1.2531,                0.81389,                0.69576,                0.76337,                0.44177,                 1.3842,                 0.8817,                 1.1614,              0.0012478,              0.0012478,              0.0012478
                     21,                 1.3548,                0.84539,                  1.248,                0.81509,                0.71718,                0.78213,                0.44443,                 1.4064,                0.80234,                 1.1617,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.3497,                0.84307,                 1.2464,                0.82028,                0.72517,                0.79112,                0.45221,                 1.4058,                0.81499,                 1.1608,              0.0012475,              0.0012475,              0.0012475
                     23,                 1.3431,                0.83472,                  1.239,                0.80339,                0.71269,                0.77656,                0.44562,                 1.3854,                0.83293,                 1.1542,              0.0012474,              0.0012474,              0.0012474
                     24,                 1.3393,                0.82929,                 1.2384,                0.82226,                0.72222,                0.79435,                0.46243,                 1.3523,                 0.8191,                 1.1382,              0.0012473,              0.0012473,              0.0012473
                     25,                 1.3374,                0.81812,                 1.2405,                 0.8282,                 0.7397,                0.80452,                0.45197,                 1.4301,                0.80016,                 1.1605,              0.0012472,              0.0012472,              0.0012472
                     26,                 1.3268,                0.81369,                 1.2316,                0.80783,                0.73483,                0.79554,                0.46051,                 1.3862,                0.80199,                 1.1482,               0.001247,               0.001247,               0.001247
                     27,                 1.3238,                 0.8079,                 1.2302,                0.82046,                0.74078,                0.80165,                0.46382,                 1.3663,                0.79344,                   1.14,              0.0012469,              0.0012469,              0.0012469
                     28,                 1.3204,                 0.7988,                  1.227,                0.83671,                0.72813,                0.80392,                0.46975,                  1.346,                0.78122,                 1.1318,              0.0012468,              0.0012468,              0.0012468
                     29,                 1.3181,                0.79413,                 1.2251,                0.83126,                0.73598,                0.80536,                0.46948,                 1.3525,                0.77628,                 1.1341,              0.0012467,              0.0012467,              0.0012467
                     30,                 1.3134,                 0.7893,                 1.2201,                0.83528,                0.72793,                0.79949,                0.44262,                 1.4453,                0.79133,                 1.1768,              0.0012465,              0.0012465,              0.0012465
                     31,                 1.3178,                0.78069,                 1.2269,                0.84848,                0.75336,                0.81041,                0.45772,                 1.4353,                0.76502,                 1.1678,              0.0012464,              0.0012464,              0.0012464
                     32,                 1.2977,                0.77596,                 1.2164,                0.84174,                 0.7531,                0.81163,                0.47271,                 1.3602,                0.75496,                 1.1304,              0.0012463,              0.0012463,              0.0012463
                     33,                 1.3046,                 0.7752,                 1.2157,                0.84965,                0.75618,                0.81881,                0.47976,                 1.3782,                0.73556,                 1.1378,              0.0012462,              0.0012462,              0.0012462
                     34,                 1.2995,                 0.7693,                 1.2124,                0.86405,                0.73962,                0.82025,                0.47801,                 1.3542,                0.73745,                 1.1342,               0.001246,               0.001246,               0.001246
                     35,                 1.2983,                 0.7677,                 1.2125,                0.86161,                0.75444,                0.82377,                0.46732,                 1.4036,                 0.7366,                 1.1481,              0.0012459,              0.0012459,              0.0012459
                     36,                 1.2921,                0.76118,                 1.2073,                0.84116,                0.73556,                0.80335,                0.47306,                 1.3291,                0.76084,                 1.1271,              0.0012458,              0.0012458,              0.0012458
                     37,                 1.2935,                0.75441,                 1.2086,                0.84726,                0.75327,                0.81947,                0.48341,                 1.3321,                0.72929,                  1.123,              0.0012457,              0.0012457,              0.0012457
                     38,                 1.2863,                0.75389,                 1.2086,                0.85174,                0.74509,                0.81384,                0.47092,                 1.3681,                0.74543,                 1.1426,              0.0012455,              0.0012455,              0.0012455
                     39,                 1.2862,                0.75272,                 1.2036,                0.85009,                 0.7364,                0.81054,                0.48211,                 1.3274,                 0.7411,                  1.123,              0.0012454,              0.0012454,              0.0012454
                     40,                 1.2767,                0.74657,                 1.1968,                0.85993,                0.75818,                0.82653,                0.48176,                 1.3665,                 0.7212,                 1.1302,              0.0012453,              0.0012453,              0.0012453
                     41,                 1.2728,                0.74059,                 1.1938,                0.86622,                0.76668,                0.83345,                0.48213,                 1.3785,                0.70895,                 1.1367,              0.0012452,              0.0012452,              0.0012452
                     42,                 1.2768,                 0.7336,                 1.1968,                0.85692,                0.75816,                0.82976,                0.49711,                 1.2938,                0.71398,                  1.107,              0.0012451,              0.0012451,              0.0012451
                     43,                 1.2642,                0.72786,                 1.1902,                 0.8644,                0.77016,                0.83833,                0.48368,                 1.3841,                0.71424,                  1.136,              0.0012449,              0.0012449,              0.0012449
                     44,                 1.2669,                0.72993,                 1.1873,                0.85255,                0.76451,                0.83141,                0.49849,                 1.2853,                0.70725,                 1.0987,              0.0012448,              0.0012448,              0.0012448
                     45,                 1.2636,                0.72729,                 1.1916,                0.85688,                0.76088,                0.83288,                0.47682,                 1.3899,                0.72803,                 1.1411,              0.0012447,              0.0012447,              0.0012447
                     46,                 1.2655,                 0.7256,                 1.1896,                0.86587,                0.76044,                0.83225,                0.48316,                 1.3428,                0.71634,                 1.1258,              0.0012446,              0.0012446,              0.0012446
                     47,                  1.254,                 0.7207,                 1.1851,                0.86414,                0.76566,                 0.8337,                0.49492,                 1.3299,                0.70281,                 1.1197,              0.0012444,              0.0012444,              0.0012444
                     48,                 1.2553,                0.72121,                 1.1865,                0.86822,                0.77154,                0.83606,                0.49915,                 1.3239,                0.69682,                  1.121,              0.0012443,              0.0012443,              0.0012443
                     49,                 1.2606,                0.71813,                  1.191,                0.87575,                0.77022,                0.83856,                0.48831,                 1.3705,                0.69464,                 1.1284,              0.0012442,              0.0012442,              0.0012442
                     50,                 1.2508,                0.71171,                 1.1829,                0.87117,                0.77726,                0.84273,                  0.494,                 1.3833,                 0.6956,                 1.1339,              0.0012441,              0.0012441,              0.0012441
                     51,                 1.2427,                 0.7084,                 1.1746,                0.87246,                0.77171,                0.83742,                 0.4794,                 1.4096,                0.70121,                 1.1404,              0.0012439,              0.0012439,              0.0012439
                     52,                 1.2479,                0.71092,                 1.1776,                0.85495,                0.78547,                0.84276,                0.49693,                 1.3225,                0.70111,                 1.1151,              0.0012438,              0.0012438,              0.0012438
                     53,                 1.2401,                0.70581,                 1.1717,                0.87921,                0.78121,                0.84519,                0.50578,                 1.3232,                 0.6779,                 1.1114,              0.0012437,              0.0012437,              0.0012437
                     54,                 1.2369,                0.70365,                 1.1728,                0.86625,                0.77745,                0.84149,                 0.5066,                 1.2895,                0.69331,                 1.1002,              0.0012436,              0.0012436,              0.0012436
                     55,                 1.2444,                 0.6992,                 1.1773,                0.87462,                0.77385,                0.84878,                0.51284,                 1.2767,                0.67458,                 1.0946,              0.0012434,              0.0012434,              0.0012434
                     56,                 1.2283,                0.69469,                 1.1714,                0.87617,                0.79171,                 0.8475,                0.48927,                 1.3801,                0.68701,                  1.133,              0.0012433,              0.0012433,              0.0012433
                     57,                 1.2284,                0.69274,                 1.1717,                0.88009,                0.79488,                0.85228,                0.50197,                 1.3537,                0.67857,                 1.1232,              0.0012432,              0.0012432,              0.0012432
                     58,                 1.2349,                0.69449,                 1.1723,                0.87998,                0.78359,                0.85007,                0.51948,                 1.2612,                0.65461,                 1.0879,              0.0012431,              0.0012431,              0.0012431
                     59,                 1.2314,                 0.6891,                 1.1706,                0.87637,                0.77889,                0.84639,                0.50724,                  1.297,                0.67916,                 1.1039,              0.0012429,              0.0012429,              0.0012429
                     60,                  1.224,                0.68643,                 1.1688,                0.87653,                0.79031,                0.85316,                0.50003,                 1.3467,                0.66792,                 1.1176,              0.0012428,              0.0012428,              0.0012428
                     61,                 1.2274,                0.68446,                 1.1687,                0.87678,                0.79558,                0.85259,                0.51468,                 1.2908,                0.65321,                 1.0985,              0.0012427,              0.0012427,              0.0012427
                     62,                 1.2234,                0.68706,                 1.1651,                0.87236,                0.78872,                0.85166,                0.51644,                 1.2707,                 0.6651,                 1.0939,              0.0012426,              0.0012426,              0.0012426
                     63,                 1.2235,                0.68536,                 1.1643,                0.89122,                0.78307,                0.85363,                0.51451,                 1.2856,                0.65761,                 1.1005,              0.0012425,              0.0012425,              0.0012425
                     64,                  1.215,                0.67452,                 1.1601,                0.89054,                0.79266,                0.85591,                0.51822,                   1.25,                0.64629,                 1.0828,              0.0012423,              0.0012423,              0.0012423
                     65,                 1.2171,                0.67456,                 1.1604,                0.88571,                0.79368,                0.85877,                0.50376,                 1.3443,                0.66256,                 1.1143,              0.0012422,              0.0012422,              0.0012422
                     66,                  1.212,                0.67554,                 1.1627,                0.87161,                0.78853,                0.85179,                 0.5207,                 1.2645,                 0.6647,                 1.0858,              0.0012421,              0.0012421,              0.0012421
                     67,                 1.2287,                0.67686,                 1.1631,                0.88838,                0.79266,                0.85879,                0.51916,                 1.2802,                0.64969,                 1.0944,               0.001242,               0.001242,               0.001242
                     68,                 1.2075,                0.66763,                 1.1597,                0.88106,                0.79858,                0.85578,                0.52207,                 1.2602,                0.64245,                 1.0895,              0.0012418,              0.0012418,              0.0012418
                     69,                 1.2046,                0.66868,                 1.1589,                0.88638,                0.79511,                 0.8596,                0.52345,                 1.2625,                0.64108,                 1.0879,              0.0012417,              0.0012417,              0.0012417
                     70,                 1.2055,                0.66546,                  1.156,                0.88478,                0.80317,                0.86061,                0.52158,                  1.283,                0.64998,                 1.0913,              0.0012416,              0.0012416,              0.0012416
                     71,                 1.2068,                0.66443,                 1.1585,                0.88617,                0.78786,                0.85303,                0.51868,                 1.2851,                 0.6548,                  1.096,              0.0012415,              0.0012415,              0.0012415
                     72,                 1.2071,                0.66658,                 1.1583,                 0.8753,                 0.8063,                0.86195,                0.52493,                 1.2656,                0.64049,                 1.0873,              0.0012413,              0.0012413,              0.0012413
                     73,                 1.1962,                0.66177,                 1.1528,                0.88131,                0.79728,                0.86144,                0.51125,                   1.33,                0.65574,                 1.1111,              0.0012412,              0.0012412,              0.0012412
                     74,                 1.1956,                0.65679,                 1.1488,                0.88241,                0.80106,                0.86315,                0.52509,                 1.2686,                0.63963,                  1.087,              0.0012411,              0.0012411,              0.0012411
                     75,                 1.2021,                0.65514,                 1.1503,                0.89024,                0.80178,                0.86111,                0.52774,                 1.2444,                 0.6329,                  1.079,               0.001241,               0.001241,               0.001241
                     76,                 1.1987,                0.65559,                 1.1496,                0.88144,                0.79965,                0.86197,                0.53001,                 1.2485,                0.63687,                  1.077,              0.0012408,              0.0012408,              0.0012408
                     77,                 1.1985,                 0.6572,                 1.1514,                 0.8867,                0.79765,                0.86234,                0.52896,                 1.2512,                0.63142,                 1.0798,              0.0012407,              0.0012407,              0.0012407
                     78,                 1.1898,                0.64846,                 1.1455,                0.88861,                0.80551,                0.86038,                0.51816,                 1.3068,                0.63784,                 1.0986,              0.0012406,              0.0012406,              0.0012406
                     79,                 1.1958,                0.65113,                 1.1507,                0.88748,                0.79308,                0.85986,                0.52681,                 1.2647,                0.63459,                 1.0847,              0.0012405,              0.0012405,              0.0012405
                     80,                 1.1951,                0.65044,                 1.1493,                0.89147,                0.80228,                0.86582,                0.53148,                 1.2395,                0.62883,                 1.0774,              0.0012403,              0.0012403,              0.0012403
                     81,                 1.1856,                0.64878,                 1.1433,                0.88996,                0.80936,                0.86658,                0.52957,                 1.2508,                0.62404,                 1.0774,              0.0012402,              0.0012402,              0.0012402
                     82,                 1.1866,                0.64436,                 1.1481,                 0.8891,                0.80511,                 0.8659,                0.53302,                 1.2478,                  0.631,                 1.0811,              0.0012401,              0.0012401,              0.0012401
                     83,                 1.1852,                0.64553,                 1.1438,                0.89454,                0.80309,                0.86806,                0.53142,                 1.2542,                0.62432,                 1.0809,                0.00124,                0.00124,                0.00124
                     84,                  1.189,                0.64506,                 1.1385,                0.90864,                0.80446,                0.87119,                0.52768,                 1.2836,                0.62378,                 1.0894,              0.0012399,              0.0012399,              0.0012399
                     85,                 1.1847,                0.64223,                 1.1399,                0.88403,                0.80814,                0.86766,                 0.5275,                 1.2764,                0.63047,                 1.0895,              0.0012397,              0.0012397,              0.0012397
                     86,                 1.1816,                0.64116,                 1.1413,                0.89128,                0.80694,                0.86706,                0.53221,                 1.2566,                0.62369,                 1.0787,              0.0012396,              0.0012396,              0.0012396
                     87,                 1.1749,                0.63631,                 1.1369,                0.89027,                 0.8049,                0.86568,                0.53792,                 1.2263,                0.62052,                  1.073,              0.0012395,              0.0012395,              0.0012395
                     88,                 1.1822,                0.64098,                 1.1386,                0.88614,                0.80561,                0.86675,                0.53502,                 1.2362,                0.62305,                 1.0763,              0.0012394,              0.0012394,              0.0012394
                     89,                 1.1756,                0.64063,                 1.1352,                0.89062,                0.81009,                0.87207,                0.53336,                 1.2566,                0.62425,                 1.0795,              0.0012392,              0.0012392,              0.0012392
                     90,                 1.1747,                0.63554,                  1.138,                0.89495,                0.80695,                0.87119,                0.53185,                 1.2646,                0.62406,                 1.0844,              0.0012391,              0.0012391,              0.0012391
                     91,                 1.1711,                0.63021,                 1.1364,                0.87924,                0.81437,                0.87135,                0.53919,                 1.2332,                 0.6192,                 1.0721,               0.001239,               0.001239,               0.001239
                     92,                 1.1686,                0.62933,                 1.1326,                0.89955,                0.79536,                0.86725,                0.53713,                  1.242,                0.62827,                 1.0738,              0.0012389,              0.0012389,              0.0012389
                     93,                   1.17,                0.63045,                 1.1382,                0.89699,                0.80677,                0.87316,                0.53916,                 1.2369,                0.61444,                 1.0716,              0.0012387,              0.0012387,              0.0012387
                     94,                 1.1691,                0.63166,                 1.1321,                0.89221,                 0.8111,                0.87467,                0.53811,                 1.2552,                0.61434,                  1.078,              0.0012386,              0.0012386,              0.0012386
                     95,                 1.1745,                0.62869,                 1.1324,                0.88651,                0.81607,                0.87309,                0.54374,                 1.2047,                0.60958,                 1.0634,              0.0012385,              0.0012385,              0.0012385
                     96,                 1.1629,                0.62579,                 1.1342,                 0.9015,                0.80861,                0.87265,                0.54266,                 1.2149,                 0.6111,                 1.0658,              0.0012384,              0.0012384,              0.0012384
                     97,                 1.1632,                0.62777,                 1.1305,                0.89858,                0.81003,                0.87325,                 0.5412,                 1.2267,                0.60952,                 1.0697,              0.0012382,              0.0012382,              0.0012382
                     98,                 1.1596,                0.62464,                 1.1267,                0.89565,                0.81181,                0.87383,                0.53856,                 1.2548,                0.61204,                 1.0776,              0.0012381,              0.0012381,              0.0012381
                     99,                 1.1624,                0.62437,                 1.1265,                 0.9026,                0.81284,                0.87489,                0.54525,                 1.2297,                0.60769,                 1.0698,               0.001238,               0.001238,               0.001238
                    100,                 1.1656,                0.62497,                   1.13,                0.90051,                0.81544,                0.87841,                0.54426,                 1.2275,                0.60923,                 1.0667,              0.0012379,              0.0012379,              0.0012379
                    101,                 1.1581,                0.62335,                 1.1274,                0.89962,                0.81563,                0.87806,                  0.544,                 1.2266,                0.60829,                 1.0664,              0.0012377,              0.0012377,              0.0012377
                    102,                 1.1685,                0.62641,                 1.1259,                0.89094,                0.81841,                0.87663,                0.54858,                 1.2181,                0.60384,                 1.0646,              0.0012376,              0.0012376,              0.0012376
                    103,                 1.1537,                0.61998,                 1.1226,                0.89474,                0.81768,                0.87554,                0.54349,                 1.2455,                0.60485,                 1.0747,              0.0012375,              0.0012375,              0.0012375
                    104,                 1.1615,                 0.6189,                 1.1307,                0.88775,                0.82377,                0.87831,                0.54992,                  1.204,                0.60347,                 1.0591,              0.0012374,              0.0012374,              0.0012374
                    105,                 1.1532,                0.61641,                 1.1254,                0.89258,                0.81536,                0.87727,                0.54724,                 1.2251,                0.60274,                 1.0663,              0.0012373,              0.0012373,              0.0012373
                    106,                 1.1522,                0.61209,                 1.1215,                0.89028,                0.82358,                0.87915,                0.54879,                 1.2099,                0.59892,                 1.0629,              0.0012371,              0.0012371,              0.0012371
                    107,                 1.1549,                0.61216,                 1.1225,                0.89802,                0.81522,                0.87747,                0.54592,                 1.2225,                 0.5991,                 1.0647,               0.001237,               0.001237,               0.001237
                    108,                 1.1552,                0.61475,                 1.1201,                0.89813,                0.81336,                0.87808,                0.54808,                   1.21,                0.59963,                  1.061,              0.0012369,              0.0012369,              0.0012369
                    109,                 1.1498,                0.61461,                 1.1243,                0.90034,                 0.8121,                0.87799,                0.54625,                 1.2243,                0.60154,                 1.0639,              0.0012368,              0.0012368,              0.0012368
                    110,                 1.1471,                0.61146,                   1.12,                0.89943,                 0.8153,                0.87788,                0.55221,                 1.2066,                0.59521,                 1.0582,              0.0012366,              0.0012366,              0.0012366
                    111,                 1.1488,                0.61392,                 1.1217,                0.89335,                0.81206,                0.87695,                0.55113,                  1.204,                0.59884,                 1.0589,              0.0012365,              0.0012365,              0.0012365
                    112,                 1.1472,                0.60996,                 1.1207,                0.88707,                0.81796,                0.87617,                0.54965,                 1.2044,                0.59783,                 1.0598,              0.0012364,              0.0012364,              0.0012364
