                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5003,                 2.9767,                 1.7688,                0.64981,                0.55257,                0.60932,                0.34632,                 1.5635,                 2.6463,                 1.8349,               0.067285,             0.00041411,             0.00041411
                      2,                 1.4423,                 1.6767,                  1.736,                0.80796,                 0.7162,                0.79751,                0.47019,                 1.4024,                 1.4458,                 1.6816,               0.034369,             0.00083078,             0.00083078
                      3,                  1.414,                 1.5369,                 1.7126,                0.69688,                0.59915,                0.66753,                0.39427,                 1.4559,                 2.3941,                  1.739,              0.0014519,              0.0012474,              0.0012474
                      4,                 1.4036,                   1.45,                 1.6983,                0.81984,                0.74886,                 0.8107,                0.48425,                 1.3533,                 1.3328,                 1.6422,                0.00125,                0.00125,                0.00125
                      5,                 1.3726,                 1.3442,                 1.6699,                0.83725,                0.75884,                0.83185,                0.49775,                 1.3706,                 1.2584,                 1.6476,                0.00125,                0.00125,                0.00125
                      6,                 1.3448,                 1.2719,                 1.6473,                0.83926,                0.77708,                0.84511,                0.50751,                 1.3559,                 1.2103,                 1.6294,                0.00125,                0.00125,                0.00125
                      7,                  1.326,                 1.2216,                 1.6254,                0.85924,                 0.8088,                0.86638,                0.52464,                 1.3182,                 1.1175,                 1.5979,                0.00125,                0.00125,                0.00125
                      8,                 1.3071,                 1.1708,                 1.6116,                0.85352,                0.80108,                0.86087,                 0.5277,                 1.3209,                 1.1438,                 1.6068,                0.00125,                0.00125,                0.00125
                      9,                 1.2955,                 1.1283,                 1.6084,                 0.8569,                0.82608,                0.87481,                0.54704,                 1.2777,                 1.0576,                 1.5686,                0.00125,                0.00125,                0.00125
                     10,                 1.2771,                 1.1059,                 1.5942,                0.87713,                0.83033,                0.88421,                0.55626,                 1.2597,                 1.0055,                  1.562,                0.00125,                0.00125,                0.00125
                     11,                 1.2677,                 1.0784,                 1.5792,                0.90459,                0.82619,                0.90245,                0.56587,                  1.252,                0.98102,                 1.5486,                0.00125,                0.00125,                0.00125
                     12,                 1.2584,                 1.0534,                 1.5647,                0.88709,                0.84439,                0.89885,                 0.5683,                 1.2527,                0.96571,                 1.5416,                0.00125,                0.00125,                0.00125
                     13,                 1.2482,                 1.0367,                 1.5659,                 0.8985,                0.85858,                0.90797,                0.57343,                  1.243,                0.94237,                 1.5344,                0.00125,                0.00125,                0.00125
                     14,                 1.2352,                 1.0151,                 1.5492,                0.88203,                0.85933,                 0.9056,                0.57813,                 1.2245,                0.95304,                 1.5151,                0.00125,                0.00125,                0.00125
                     15,                 1.2226,                0.99411,                 1.5367,                0.89957,                0.86277,                0.91422,                0.58311,                 1.2174,                0.91463,                  1.515,              0.0012499,              0.0012499,              0.0012499
                     16,                 1.2197,                0.97851,                  1.533,                0.89082,                0.86445,                0.91009,                0.57825,                 1.2392,                 0.9281,                  1.532,              0.0012499,              0.0012499,              0.0012499
                     17,                 1.2096,                0.96278,                 1.5244,                  0.902,                0.86896,                 0.9124,                0.58529,                 1.2175,                0.89762,                 1.5154,              0.0012499,              0.0012499,              0.0012499
                     18,                 1.2056,                0.95194,                 1.5253,                0.89861,                0.86385,                0.91461,                0.58519,                 1.2292,                 0.9128,                 1.5171,              0.0012499,              0.0012499,              0.0012499
                     19,                 1.1968,                0.93647,                 1.5132,                0.90816,                0.86916,                0.92023,                0.58448,                 1.2346,                0.88529,                 1.5234,              0.0012499,              0.0012499,              0.0012499
                     20,                 1.1935,                0.92482,                 1.5188,                0.90094,                0.87364,                0.91809,                0.59683,                 1.2038,                0.86875,                 1.5078,              0.0012499,              0.0012499,              0.0012499
                     21,                 1.1811,                0.91901,                 1.5014,                0.90833,                0.87267,                0.92227,                0.59775,                 1.2059,                0.86584,                  1.508,              0.0012499,              0.0012499,              0.0012499
                     22,                 1.1748,                0.90787,                 1.5019,                0.88872,                0.88537,                0.92471,                0.59666,                 1.2109,                 0.8654,                 1.5043,              0.0012499,              0.0012499,              0.0012499
                     23,                 1.1683,                0.89937,                 1.4962,                 0.9055,                0.88204,                0.92851,                0.60159,                 1.1999,                0.85668,                 1.4989,              0.0012499,              0.0012499,              0.0012499
                     24,                  1.162,                0.88698,                 1.4889,                0.91996,                0.88174,                0.92845,                0.60304,                 1.2049,                0.84556,                 1.4946,              0.0012498,              0.0012498,              0.0012498
                     25,                 1.1546,                0.87956,                 1.4906,                0.90967,                0.89581,                0.93389,                0.61064,                 1.1831,                 0.8302,                  1.483,              0.0012498,              0.0012498,              0.0012498
                     26,                  1.147,                0.87175,                 1.4765,                0.91792,                0.89137,                0.93268,                0.61103,                 1.1827,                0.82775,                 1.4865,              0.0012498,              0.0012498,              0.0012498
                     27,                 1.1448,                0.86376,                 1.4755,                0.90608,                0.88844,                0.92792,                0.60595,                 1.1839,                0.85081,                 1.4877,              0.0012498,              0.0012498,              0.0012498
                     28,                 1.1351,                0.85207,                 1.4664,                0.91343,                0.89252,                 0.9323,                0.61039,                 1.1875,                0.82781,                  1.488,              0.0012498,              0.0012498,              0.0012498
                     29,                 1.1305,                0.84625,                 1.4631,                0.91262,                0.89689,                 0.9349,                0.61172,                 1.1802,                0.81762,                  1.486,              0.0012498,              0.0012498,              0.0012498
                     30,                  1.125,                0.83906,                 1.4661,                0.91848,                0.88993,                0.93541,                0.61693,                 1.1804,                0.81115,                 1.4815,              0.0012497,              0.0012497,              0.0012497
                     31,                 1.1227,                0.83381,                 1.4599,                0.92396,                0.89084,                0.93758,                0.61651,                 1.1746,                0.80732,                 1.4793,              0.0012497,              0.0012497,              0.0012497
                     32,                 1.1176,                0.82426,                 1.4558,                0.92054,                0.88936,                0.93745,                0.61893,                 1.1663,                0.79569,                  1.471,              0.0012497,              0.0012497,              0.0012497
                     33,                 1.1057,                0.81675,                 1.4439,                0.91958,                0.88647,                0.93779,                0.62372,                 1.1629,                0.79415,                 1.4703,              0.0012497,              0.0012497,              0.0012497
                     34,                 1.1027,                0.81262,                 1.4471,                0.92041,                0.89866,                0.93797,                0.62443,                 1.1632,                0.78561,                 1.4737,              0.0012497,              0.0012497,              0.0012497
                     35,                 1.0985,                0.80763,                 1.4428,                 0.9293,                0.88877,                0.94204,                0.62663,                 1.1556,                0.79185,                 1.4662,              0.0012496,              0.0012496,              0.0012496
