                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5402,                 1.4542,                 1.3433,                0.76728,                0.67217,                0.73094,                0.34301,                 1.7962,                 1.4216,                 1.3497,             0.00094941,             0.00094941,             0.00094941
                     35,                 1.5387,                 1.4515,                 1.3407,                0.78989,                0.68925,                0.75311,                0.39623,                 1.5785,                 1.3236,                 1.2517,             0.00094937,             0.00094937,             0.00094937
                     36,                 1.5353,                 1.4421,                 1.3332,                0.78605,                0.68845,                0.74492,                0.36828,                  1.713,                 1.3594,                 1.3076,             0.00094933,             0.00094933,             0.00094933
                     37,                 1.5247,                  1.422,                 1.3253,                 0.7945,                 0.6946,                0.76397,                0.40677,                 1.5561,                 1.2997,                 1.2395,             0.00094929,             0.00094929,             0.00094929
                     38,                 1.5216,                 1.4214,                 1.3241,                0.81119,                0.68377,                0.75826,                0.39341,                 1.6201,                 1.3343,                 1.2666,             0.00094925,             0.00094925,             0.00094925
                     39,                 1.5073,                 1.3998,                 1.3196,                0.79623,                0.70265,                0.76261,                0.38487,                 1.6518,                 1.3312,                  1.282,             0.00094921,             0.00094921,             0.00094921
                     40,                 1.5075,                 1.3898,                 1.3154,                0.78669,                0.70669,                 0.7618,                0.42045,                 1.5014,                 1.2865,                 1.2155,             0.00094916,             0.00094916,             0.00094916
                     41,                 1.4968,                 1.3802,                 1.3111,                0.79874,                0.70645,                0.76027,                0.40121,                 1.5746,                 1.2987,                 1.2493,             0.00094912,             0.00094912,             0.00094912
                     42,                 1.4957,                 1.3691,                 1.3091,                0.81272,                  0.719,                0.77805,                0.40202,                 1.6204,                 1.2894,                 1.2624,             0.00094907,             0.00094907,             0.00094907
                     43,                 1.4922,                  1.363,                 1.3075,                0.80571,                 0.7101,                0.77035,                0.40948,                 1.5904,                 1.2705,                   1.25,             0.00094903,             0.00094903,             0.00094903
                     44,                 1.4858,                 1.3547,                 1.3057,                0.80015,                0.70679,                0.77182,                  0.413,                 1.5525,                 1.2719,                 1.2309,             0.00094898,             0.00094898,             0.00094898
                     45,                 1.4788,                 1.3472,                 1.2947,                0.82269,                0.71138,                0.78064,                0.43259,                 1.4767,                 1.2368,                 1.2011,             0.00094893,             0.00094893,             0.00094893
                     46,                 1.4764,                 1.3377,                 1.2977,                0.81072,                0.72088,                0.78216,                0.42262,                 1.5414,                 1.2405,                 1.2232,             0.00094888,             0.00094888,             0.00094888
                     47,                 1.4726,                 1.3309,                 1.2977,                 0.8115,                0.71708,                0.78016,                 0.3973,                 1.6492,                 1.2653,                 1.2687,             0.00094883,             0.00094883,             0.00094883
                     48,                 1.4695,                 1.3217,                 1.2902,                0.81981,                0.73029,                0.78992,                0.43731,                 1.4895,                 1.2251,                 1.2063,             0.00094877,             0.00094877,             0.00094877
                     49,                 1.4641,                 1.3171,                 1.2857,                 0.8244,                0.71855,                0.78784,                0.42571,                 1.5357,                 1.2239,                 1.2191,             0.00094872,             0.00094872,             0.00094872
                     50,                  1.457,                 1.3105,                 1.2842,                0.83375,                0.72128,                 0.7966,                 0.4309,                 1.5268,                 1.2162,                 1.2167,             0.00094866,             0.00094866,             0.00094866
                     51,                 1.4512,                 1.3038,                 1.2773,                0.82794,                0.72682,                0.79415,                0.42922,                 1.5137,                 1.2053,                  1.208,             0.00094861,             0.00094861,             0.00094861
                     52,                 1.4487,                 1.2943,                 1.2783,                0.83874,                0.71859,                0.79805,                0.44035,                 1.4922,                 1.1903,                 1.1998,             0.00094855,             0.00094855,             0.00094855
                     53,                 1.4424,                 1.2885,                 1.2708,                0.83389,                0.72065,                0.79209,                0.42898,                 1.5318,                 1.2079,                 1.2155,             0.00094849,             0.00094849,             0.00094849
                     54,                   1.44,                 1.2853,                 1.2721,                0.83957,                   0.73,                0.80306,                0.42655,                 1.5536,                 1.2023,                  1.228,             0.00094843,             0.00094843,             0.00094843
                     55,                 1.4388,                 1.2794,                 1.2736,                0.82484,                0.74004,                0.80056,                0.43476,                 1.5195,                  1.188,                 1.2148,             0.00094837,             0.00094837,             0.00094837
                     56,                 1.4331,                 1.2668,                 1.2636,                0.83671,                0.73094,                 0.7995,                 0.4401,                 1.4896,                 1.1842,                 1.1994,             0.00094831,             0.00094831,             0.00094831
                     57,                 1.4222,                 1.2571,                 1.2683,                0.83734,                0.73677,                0.80355,                0.44112,                  1.505,                 1.1725,                 1.2031,             0.00094825,             0.00094825,             0.00094825
                     58,                 1.4311,                 1.2556,                 1.2643,                 0.8289,                0.74273,                0.80485,                0.43988,                 1.5095,                 1.1757,                 1.2056,             0.00094818,             0.00094818,             0.00094818
                     59,                 1.4237,                 1.2505,                 1.2658,                 0.8258,                  0.748,                0.80887,                0.44472,                 1.4946,                 1.1598,                 1.1996,             0.00094812,             0.00094812,             0.00094812
                     60,                 1.4149,                 1.2413,                 1.2582,                0.82965,                0.74265,                0.80658,                0.44856,                 1.4765,                 1.1622,                  1.192,             0.00094805,             0.00094805,             0.00094805
                     61,                  1.416,                 1.2369,                 1.2604,                0.83819,                0.74803,                0.81069,                0.44725,                 1.4905,                 1.1505,                 1.1973,             0.00094798,             0.00094798,             0.00094798
                     62,                 1.4127,                 1.2312,                 1.2542,                0.84438,                0.74231,                0.81523,                0.46103,                 1.4383,                 1.1344,                 1.1737,             0.00094791,             0.00094791,             0.00094791
                     63,                 1.4075,                  1.229,                 1.2506,                0.83433,                0.74466,                0.81184,                0.45096,                  1.477,                 1.1469,                 1.1905,             0.00094784,             0.00094784,             0.00094784
                     64,                 1.4097,                 1.2239,                 1.2546,                0.84194,                0.75401,                0.81708,                0.45752,                 1.4515,                 1.1373,                  1.181,             0.00094777,             0.00094777,             0.00094777
                     65,                 1.4049,                 1.2196,                 1.2506,                0.83847,                0.74658,                0.81613,                0.46001,                 1.4444,                  1.131,                 1.1776,              0.0009477,              0.0009477,              0.0009477
                     66,                 1.4002,                 1.2119,                 1.2468,                0.85303,                0.75592,                0.81768,                0.46543,                  1.424,                 1.1142,                 1.1687,             0.00094763,             0.00094763,             0.00094763
                     67,                 1.3995,                  1.209,                 1.2476,                0.83697,                0.76329,                0.82184,                0.46693,                 1.4331,                 1.1133,                 1.1694,             0.00094755,             0.00094755,             0.00094755
                     68,                  1.392,                 1.2011,                 1.2492,                0.85038,                0.75794,                0.82304,                0.46229,                 1.4506,                 1.1214,                 1.1792,             0.00094748,             0.00094748,             0.00094748
                     69,                 1.3942,                 1.1979,                 1.2453,                0.85148,                0.75951,                 0.8224,                0.46035,                 1.4524,                 1.1115,                  1.177,              0.0009474,              0.0009474,              0.0009474
                     70,                 1.3882,                  1.196,                  1.246,                0.83698,                0.75732,                0.82156,                0.46291,                 1.4466,                 1.1104,                 1.1781,             0.00094732,             0.00094732,             0.00094732
                     71,                 1.3881,                 1.1827,                  1.239,                0.85677,                 0.7569,                0.82636,                 0.4694,                 1.4343,                 1.1032,                 1.1688,             0.00094724,             0.00094724,             0.00094724
                     72,                 1.3895,                 1.1914,                 1.2412,                0.86826,                0.75563,                0.82386,                0.46707,                 1.4224,                 1.1012,                 1.1668,             0.00094716,             0.00094716,             0.00094716
                     73,                 1.3787,                 1.1765,                 1.2347,                 0.8591,                0.75583,                0.82587,                0.46706,                 1.4327,                 1.1074,                  1.168,             0.00094708,             0.00094708,             0.00094708
