                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0101,                0.61022,                0.83683,                 0.9456,                0.89253,                0.94352,                0.64954,                 1.0513,                0.59238,                 0.7992,             0.00044961,             0.00044961,             0.00044961
                     37,                 1.0072,                0.60837,                0.83429,                0.93658,                0.89431,                0.94146,                0.64949,                 1.0487,                0.59743,                0.79796,             0.00044958,             0.00044958,             0.00044958
                     38,                 1.0117,                0.60975,                0.83813,                 0.9361,                0.89829,                0.94349,                0.65293,                 1.0419,                0.58862,                0.79514,             0.00044956,             0.00044956,             0.00044956
                     39,                 1.0073,                0.60564,                0.83656,                0.93638,                0.89828,                0.94507,                0.65544,                 1.0329,                0.58689,                0.79246,             0.00044954,             0.00044954,             0.00044954
                     40,                 1.0084,                0.60548,                0.83573,                 0.9335,                0.90006,                0.94237,                0.65359,                 1.0322,                0.58839,                0.79248,             0.00044951,             0.00044951,             0.00044951
                     41,                 1.0068,                0.60685,                0.83525,                0.93665,                0.89753,                0.94237,                0.65256,                 1.0391,                0.58994,                0.79543,             0.00044948,             0.00044948,             0.00044948
                     42,                 1.0042,                0.60634,                0.83481,                0.94157,                0.88804,                0.94158,                0.64636,                 1.0617,                 0.5959,                0.80103,             0.00044946,             0.00044946,             0.00044946
                     43,                 1.0086,                0.60626,                0.83802,                0.93428,                0.89882,                0.94246,                 0.6495,                 1.0595,                 0.5909,                0.79879,             0.00044943,             0.00044943,             0.00044943
                     44,                 1.0075,                0.60566,                0.83755,                0.93349,                0.89808,                0.94243,                0.65026,                 1.0459,                0.59407,                0.79775,              0.0004494,              0.0004494,              0.0004494
                     45,                 1.0071,                0.60576,                0.83481,                0.94483,                 0.8945,                0.94357,                0.65604,                 1.0348,                0.58573,                0.79424,             0.00044937,             0.00044937,             0.00044937
                     46,                 1.0057,                0.60345,                0.83528,                0.93506,                0.90175,                0.94306,                0.65597,                 1.0301,                  0.587,                0.79251,             0.00044934,             0.00044934,             0.00044934
                     47,                 1.0048,                0.60568,                0.83589,                0.94101,                0.89627,                0.94308,                0.65425,                  1.039,                 0.5904,                0.79505,             0.00044931,             0.00044931,             0.00044931
                     48,                 1.0027,                0.60215,                0.83336,                0.93612,                0.89155,                0.94218,                0.65116,                 1.0436,                0.58893,                 0.7963,             0.00044928,             0.00044928,             0.00044928
                     49,                 1.0087,                0.60498,                0.83519,                0.92598,                0.89998,                0.94148,                0.64811,                 1.0491,                0.59136,                0.79741,             0.00044925,             0.00044925,             0.00044925
                     50,                 1.0061,                0.60357,                0.83577,                0.93735,                0.89859,                0.94382,                0.64584,                 1.0673,                0.59308,                0.80195,             0.00044922,             0.00044922,             0.00044922
                     51,                 1.0098,                0.60585,                0.83616,                0.93625,                0.89117,                0.94219,                0.65211,                 1.0472,                0.59011,                0.79784,             0.00044919,             0.00044919,             0.00044919
                     52,                 1.0055,                 0.6041,                0.83572,                0.94338,                0.88501,                0.94242,                0.65538,                 1.0327,                0.58938,                 0.7948,             0.00044915,             0.00044915,             0.00044915
                     53,                 1.0037,                0.60501,                0.83353,                0.93861,                0.89186,                0.94188,                0.65438,                   1.04,                0.58924,                 0.7966,             0.00044912,             0.00044912,             0.00044912
                     54,                 1.0078,                 0.6061,                 0.8367,                0.94669,                0.88715,                 0.9432,                0.64344,                 1.0787,                0.59797,                0.80698,             0.00044908,             0.00044908,             0.00044908
                     55,                 1.0047,                0.60472,                0.83569,                0.93249,                0.89921,                0.94271,                0.65063,                 1.0469,                0.58865,                0.79813,             0.00044905,             0.00044905,             0.00044905
                     56,                 1.0027,                0.60484,                0.83184,                0.93952,                0.89308,                0.94322,                0.65264,                 1.0414,                0.58889,                0.79649,             0.00044901,             0.00044901,             0.00044901
                     57,                 1.0041,                0.60115,                0.83654,                0.94171,                0.89255,                0.94278,                0.65261,                 1.0433,                0.58857,                0.79662,             0.00044897,             0.00044897,             0.00044897
                     58,                 1.0054,                0.60475,                0.83071,                0.93776,                0.89424,                0.94294,                0.65194,                 1.0466,                0.58753,                 0.7973,             0.00044894,             0.00044894,             0.00044894
                     59,                 1.0026,                0.60041,                0.83574,                0.93691,                0.89628,                0.94312,                0.65506,                 1.0365,                0.58618,                0.79607,              0.0004489,              0.0004489,              0.0004489
                     60,                 1.0021,                0.60113,                0.83195,                0.93047,                0.90248,                 0.9431,                0.65179,                 1.0513,                0.58778,                0.79932,             0.00044886,             0.00044886,             0.00044886
                     61,                  1.006,                 0.6038,                0.83526,                0.94043,                0.89116,                0.94334,                0.65042,                 1.0561,                0.59067,                0.79992,             0.00044882,             0.00044882,             0.00044882
                     62,                 1.0078,                0.60209,                0.83627,                0.93642,                 0.8907,                0.94321,                0.64877,                 1.0638,                0.59322,                0.80209,             0.00044878,             0.00044878,             0.00044878
                     63,                 1.0038,                0.60251,                0.83324,                0.94341,                0.88505,                0.94257,                0.64871,                 1.0603,                0.58979,                0.80171,             0.00044874,             0.00044874,             0.00044874
                     64,                 1.0002,                  0.601,                0.83297,                0.94077,                0.89524,                 0.9425,                0.65077,                 1.0479,                0.58808,                0.79851,              0.0004487,              0.0004487,              0.0004487
                     65,                 1.0039,                 0.6001,                0.83429,                0.94108,                0.88941,                0.94236,                0.65352,                 1.0391,                 0.5848,                0.79622,             0.00044865,             0.00044865,             0.00044865
                     66,                 1.0009,                0.59983,                0.83265,                0.93562,                0.89839,                0.94333,                0.64875,                 1.0501,                 0.5891,                0.79932,             0.00044861,             0.00044861,             0.00044861
                     67,                 1.0035,                0.60241,                0.83548,                0.93993,                0.89113,                0.94295,                0.65399,                 1.0462,                0.58714,                0.79813,             0.00044857,             0.00044857,             0.00044857
                     68,                0.99677,                 0.5992,                0.83394,                0.94212,                0.89607,                0.94345,                0.65809,                 1.0364,                0.58649,                0.79606,             0.00044852,             0.00044852,             0.00044852
                     69,                 1.0024,                0.60135,                0.83458,                0.94457,                0.89395,                0.94249,                0.64988,                 1.0559,                0.59005,                0.80037,             0.00044848,             0.00044848,             0.00044848
                     70,                 1.0037,                0.59973,                0.83562,                0.94192,                0.89776,                0.94491,                0.65641,                 1.0387,                 0.5837,                0.79572,             0.00044843,             0.00044843,             0.00044843
                     71,                0.99916,                0.60041,                0.83129,                0.93683,                0.89668,                0.94426,                0.65641,                 1.0375,                0.58629,                0.79584,             0.00044839,             0.00044839,             0.00044839
                     72,                 1.0029,                0.60064,                0.83424,                0.94255,                0.89477,                 0.9436,                0.65262,                  1.052,                0.58999,                0.80053,             0.00044834,             0.00044834,             0.00044834
                     73,                0.99873,                0.59742,                0.83349,                0.93992,                0.89909,                0.94326,                0.65755,                 1.0319,                0.58225,                0.79487,             0.00044829,             0.00044829,             0.00044829
                     74,                0.99859,                0.59961,                0.83195,                0.93687,                0.89694,                0.94095,                0.65075,                 1.0571,                0.58933,                0.80029,             0.00044824,             0.00044824,             0.00044824
                     75,                0.99939,                  0.597,                0.83247,                0.93951,                 0.8965,                0.94238,                0.65229,                 1.0509,                0.58709,                0.79911,             0.00044819,             0.00044819,             0.00044819
