                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1894,                 2.1549,                 1.6027,                0.83465,                0.78654,                0.86047,                0.50678,                 1.4408,                 1.4541,                  1.839,               0.067293,             0.00041401,             0.00041401
                      2,                 1.0466,                0.99002,                 1.4355,                0.92416,                0.90989,                0.94876,                0.66082,                 1.0385,                0.90293,                 1.3956,               0.034376,             0.00083068,             0.00083068
                      3,                0.98191,                0.84831,                 1.3515,                0.94805,                0.92477,                0.96424,                0.69574,                  0.978,                0.78253,                 1.3285,              0.0014597,              0.0012473,              0.0012473
                      4,                0.96032,                0.77796,                 1.3116,                0.94629,                0.92294,                0.96502,                0.69091,                 1.0057,                0.75534,                 1.3299,                0.00125,                0.00125,                0.00125
                      5,                0.95348,                0.75161,                 1.2969,                 0.9509,                0.92097,                0.96337,                0.69228,                0.99409,                0.73408,                 1.3161,                0.00125,                0.00125,                0.00125
                      6,                0.94164,                0.73003,                 1.2852,                0.95024,                0.93326,                0.96925,                0.71242,                0.94391,                0.69515,                 1.2804,                0.00125,                0.00125,                0.00125
                      7,                0.93873,                0.72046,                 1.2742,                0.94646,                0.93434,                0.96828,                 0.7041,                0.97853,                0.70612,                 1.3028,                0.00125,                0.00125,                0.00125
                      8,                0.93126,                0.70688,                 1.2757,                 0.9509,                0.94149,                0.97171,                0.71657,                0.95115,                0.68459,                 1.2882,                0.00125,                0.00125,                0.00125
                      9,                0.92723,                0.69894,                 1.2725,                 0.9575,                0.93593,                0.97079,                0.71633,                0.95441,                0.67225,                 1.2845,                0.00125,                0.00125,                0.00125
                     10,                0.91935,                0.69327,                 1.2683,                0.94689,                0.93513,                0.96764,                0.70189,                0.99347,                0.70224,                 1.3054,                0.00125,                0.00125,                0.00125
                     11,                0.92543,                0.69628,                 1.2653,                0.95599,                0.93028,                0.96897,                0.71227,                0.96557,                0.68425,                 1.2867,                0.00125,                0.00125,                0.00125
                     12,                0.91873,                0.68797,                 1.2634,                0.94677,                0.93428,                0.96722,                0.70425,                0.98967,                0.68826,                 1.3035,                0.00125,                0.00125,                0.00125
                     13,                0.91672,                 0.6852,                 1.2629,                0.95544,                0.93492,                0.96945,                0.71174,                0.96266,                0.67617,                  1.285,                0.00125,                0.00125,                0.00125
                     14,                0.91319,                0.67985,                 1.2582,                0.94984,                0.93347,                 0.9685,                0.70284,                0.99985,                0.69272,                 1.3152,                0.00125,                0.00125,                0.00125
                     15,                0.90828,                0.67905,                  1.259,                0.94455,                0.93713,                0.96914,                0.71598,                  0.954,                0.67618,                 1.2863,              0.0012499,              0.0012499,              0.0012499
                     16,                0.91109,                0.67494,                 1.2524,                0.94854,                0.93735,                0.96856,                0.70153,                0.99295,                0.68531,                 1.3015,              0.0012499,              0.0012499,              0.0012499
                     17,                 0.9115,                0.67557,                 1.2529,                0.94883,                0.94385,                0.97018,                0.71866,                0.94266,                0.65903,                 1.2779,              0.0012499,              0.0012499,              0.0012499
                     18,                 0.9071,                0.67307,                  1.251,                 0.9514,                0.93358,                0.96998,                0.71058,                0.96929,                0.67597,                 1.2907,              0.0012499,              0.0012499,              0.0012499
                     19,                 0.9048,                0.67058,                  1.251,                0.94956,                 0.9405,                 0.9699,                0.71342,                0.96712,                0.66712,                 1.2878,              0.0012499,              0.0012499,              0.0012499
                     20,                0.90465,                0.66919,                 1.2506,                0.94442,                0.93643,                 0.9665,                0.70711,                0.99144,                0.68038,                 1.3093,              0.0012499,              0.0012499,              0.0012499
                     21,                0.89981,                  0.665,                 1.2486,                0.95366,                0.93471,                0.96888,                0.70553,                0.99298,                0.67045,                 1.3051,              0.0012499,              0.0012499,              0.0012499
                     22,                 0.9004,                0.66641,                 1.2455,                0.95821,                0.93059,                 0.9695,                0.70929,                0.97251,                0.66668,                 1.2938,              0.0012499,              0.0012499,              0.0012499
                     23,                0.89544,                0.66165,                 1.2432,                0.95305,                   0.93,                 0.9683,                0.70802,                0.98181,                0.67882,                 1.2971,              0.0012499,              0.0012499,              0.0012499
                     24,                0.89782,                0.66353,                 1.2453,                0.94763,                0.94017,                0.97056,                0.71916,                0.95525,                0.66069,                 1.2791,              0.0012498,              0.0012498,              0.0012498
                     25,                0.89283,                0.65752,                 1.2384,                0.95347,                0.93662,                0.97036,                0.71575,                0.95787,                0.65899,                 1.2824,              0.0012498,              0.0012498,              0.0012498
