                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3493,                 5.9684,                 3.1162,                0.49933,                0.06983,                0.06652,                 0.0237,                 3.2715,                 5.4258,                 2.8955,               0.067307,             0.00041383,             0.00041383
                      2,                 2.5858,                 4.2345,                 2.5186,                0.33568,                 0.1943,                0.20477,                0.07209,                 2.6695,                 4.2883,                 2.5347,                0.03439,             0.00083022,             0.00083022
                      3,                 2.2138,                 3.5135,                 2.2495,                0.38984,                 0.3268,                0.31732,                0.12689,                 2.3047,                 3.5023,                 2.2727,              0.0014731,              0.0012463,              0.0012463
                      4,                 2.0371,                 3.1002,                 2.0856,                 0.4793,                0.40153,                0.42266,                0.17321,                 2.2622,                 3.1298,                 2.2063,              0.0012488,              0.0012488,              0.0012488
                      5,                 1.9307,                 2.7897,                 1.9904,                0.58929,                0.48346,                0.51233,                0.22701,                 2.0339,                 2.5808,                 1.9801,              0.0012488,              0.0012488,              0.0012488
                      6,                 1.8555,                 2.5657,                 1.9133,                0.57866,                0.51611,                0.55526,                0.23873,                 2.0861,                 2.4739,                 1.9801,              0.0012484,              0.0012484,              0.0012484
                      7,                 1.7898,                 2.3741,                 1.8634,                0.63159,                0.53671,                0.58248,                0.27368,                 1.9206,                 2.3151,                 1.8567,              0.0012479,              0.0012479,              0.0012479
                      8,                 1.7512,                 2.2543,                  1.832,                0.70749,                 0.5981,                0.65567,                0.31184,                 1.9085,                 2.0766,                 1.8752,              0.0012475,              0.0012475,              0.0012475
                      9,                 1.7203,                 2.1387,                 1.8032,                0.71827,                0.58696,                 0.6506,                0.28223,                 1.9757,                 2.0802,                 1.8728,              0.0012471,              0.0012471,              0.0012471
                     10,                 1.6897,                  2.045,                 1.7713,                0.68458,                0.61274,                0.67016,                0.31767,                 1.8618,                 2.0436,                 1.8029,              0.0012467,              0.0012467,              0.0012467
