                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0632,                0.77594,                 1.1389,                0.86807,                0.77134,                0.85381,                0.55146,                 1.3281,                 1.1139,                 1.2611,               0.066988,             0.00014923,             0.00014923
                      2,                 1.0007,                0.70437,                 1.0982,                0.92656,                0.91796,                0.95774,                0.69731,                 1.0686,                0.70222,                 1.0928,               0.033804,             0.00029923,             0.00029923
                      3,                0.95103,                0.65188,                 1.0715,                0.94338,                0.92309,                0.96409,                0.72404,                0.98954,                0.65063,                 1.0612,             0.00062105,             0.00044923,             0.00044923
                      4,                0.92978,                0.62941,                 1.0581,                0.94623,                0.92688,                0.96759,                0.72548,                 1.0017,                0.64521,                 1.0627,                0.00045,                0.00045,                0.00045
                      5,                0.92317,                0.61822,                 1.0553,                0.94056,                0.93249,                0.96787,                0.71006,                 1.0521,                0.65702,                 1.0812,                0.00045,                0.00045,                0.00045
                      6,                 0.9204,                 0.6149,                 1.0481,                0.94367,                0.93299,                0.97001,                0.71884,                 1.0187,                0.63997,                 1.0649,                0.00045,                0.00045,                0.00045
                      7,                 0.9103,                0.60402,                 1.0434,                 0.9502,                0.93176,                0.97128,                0.72698,                0.99566,                0.63229,                 1.0596,                0.00045,                0.00045,                0.00045
                      8,                0.90412,                0.59884,                  1.044,                0.95842,                0.92897,                0.97285,                0.73344,                0.97424,                0.62058,                 1.0482,                0.00045,                0.00045,                0.00045
                      9,                0.90705,                0.59692,                 1.0421,                0.95832,                0.93037,                0.97361,                0.73661,                0.96476,                0.61295,                  1.043,             0.00044999,             0.00044999,             0.00044999
                     10,                0.89855,                0.59243,                 1.0358,                0.95692,                0.93611,                0.97447,                0.72389,                 1.0208,                 0.6224,                 1.0634,             0.00044999,             0.00044999,             0.00044999
                     11,                0.89509,                0.58951,                 1.0354,                0.95589,                0.93324,                0.97396,                0.72159,                 1.0246,                0.62665,                 1.0601,             0.00044999,             0.00044999,             0.00044999
                     12,                0.89535,                0.58924,                 1.0345,                0.94975,                0.93788,                0.97456,                0.73005,                0.99079,                0.61454,                  1.054,             0.00044999,             0.00044999,             0.00044999
                     13,                0.89051,                0.58613,                 1.0316,                0.96008,                0.93321,                0.97605,                0.73791,                0.97091,                 0.6077,                 1.0418,             0.00044999,             0.00044999,             0.00044999
                     14,                0.88928,                0.58401,                 1.0292,                0.95688,                0.93301,                0.97502,                0.73162,                0.99029,                0.61417,                 1.0525,             0.00044998,             0.00044998,             0.00044998
                     15,                0.88587,                0.58246,                  1.028,                0.94203,                0.94217,                0.97449,                0.72953,                0.99702,                0.61892,                 1.0546,             0.00044998,             0.00044998,             0.00044998
                     16,                0.88542,                0.57976,                 1.0282,                0.94548,                0.94233,                0.97618,                0.73761,                 0.9715,                0.60071,                 1.0449,             0.00044998,             0.00044998,             0.00044998
                     17,                0.88153,                0.57873,                 1.0252,                0.95308,                0.93545,                0.97526,                0.72026,                 1.0283,                0.61913,                 1.0629,             0.00044997,             0.00044997,             0.00044997
                     18,                0.88093,                0.57641,                 1.0237,                0.96203,                0.93483,                0.97692,                0.73581,                0.97277,                 0.6035,                 1.0455,             0.00044997,             0.00044997,             0.00044997
                     19,                0.87597,                0.57463,                 1.0241,                0.94633,                0.94376,                0.97603,                0.73647,                0.97576,                0.60356,                 1.0455,             0.00044996,             0.00044996,             0.00044996
                     20,                0.87752,                 0.5753,                 1.0252,                0.95421,                0.94568,                0.97635,                 0.7375,                0.97188,                0.60136,                 1.0422,             0.00044996,             0.00044996,             0.00044996
                     21,                0.87374,                0.57127,                 1.0251,                0.94849,                0.94313,                0.97552,                0.73167,                0.98629,                0.60778,                 1.0477,             0.00044996,             0.00044996,             0.00044996
                     22,                0.87357,                0.57083,                 1.0214,                0.95709,                0.94203,                0.97777,                0.74346,                0.95672,                0.59347,                 1.0371,             0.00044995,             0.00044995,             0.00044995
                     23,                0.87176,                0.57126,                 1.0182,                  0.952,                0.94035,                0.97693,                0.73695,                0.96636,                 0.6013,                 1.0424,             0.00044995,             0.00044995,             0.00044995
                     24,                0.86867,                0.56716,                 1.0202,                0.95511,                0.93929,                0.97733,                0.73652,                0.97064,                0.60143,                 1.0451,             0.00044994,             0.00044994,             0.00044994
