                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3329,                 5.6603,                  3.539,                0.81344,                0.02754,                0.05995,                0.01988,                 3.3596,                 7.4331,                 3.3131,               0.067285,             0.00041411,             0.00041411
                      2,                 2.3698,                 3.6375,                 2.6059,                0.45161,                0.31482,                0.32389,                0.15974,                 2.1261,                 3.1786,                 2.4005,               0.034369,             0.00083078,             0.00083078
                      3,                 2.0333,                 3.0119,                 2.3031,                 0.5246,                0.38422,                0.41314,                0.20896,                 1.9324,                 2.8008,                 2.1938,              0.0014519,              0.0012474,              0.0012474
                      4,                 1.8912,                  2.672,                 2.1618,                0.58235,                0.46447,                 0.4907,                0.25743,                 1.8194,                  2.408,                 2.0837,                0.00125,                0.00125,                0.00125
                      5,                 1.7898,                 2.4353,                 2.0687,                0.63437,                0.50085,                  0.556,                0.29861,                 1.7346,                 2.1977,                 2.0151,                0.00125,                0.00125,                0.00125
                      6,                 1.7211,                 2.2392,                 1.9979,                0.61865,                0.54489,                0.58269,                0.30926,                  1.707,                  2.064,                 1.9742,                0.00125,                0.00125,                0.00125
                      7,                 1.6654,                 2.1064,                 1.9418,                 0.6539,                0.55186,                0.60222,                0.32396,                 1.6653,                  1.975,                 1.9457,                0.00125,                0.00125,                0.00125
                      8,                 1.6206,                 1.9749,                 1.9027,                0.71625,                0.59357,                0.66086,                0.36579,                 1.5747,                 1.8724,                 1.8578,                0.00125,                0.00125,                0.00125
                      9,                 1.5958,                 1.8912,                 1.8841,                0.70364,                0.59882,                0.66032,                 0.3716,                 1.5706,                 1.7955,                 1.8461,                0.00125,                0.00125,                0.00125
                     10,                 1.5604,                 1.8068,                 1.8508,                0.73795,                0.65567,                0.71607,                0.40237,                 1.5115,                 1.6367,                 1.7835,                0.00125,                0.00125,                0.00125
                     11,                 1.5376,                 1.7387,                 1.8241,                0.77474,                0.64654,                 0.7296,                 0.4174,                 1.4843,                 1.6044,                 1.7674,                0.00125,                0.00125,                0.00125
                     12,                 1.5123,                 1.6699,                 1.7952,                 0.7647,                0.68993,                0.75151,                0.43191,                 1.4597,                 1.5003,                 1.7339,                0.00125,                0.00125,                0.00125
                     13,                 1.4896,                 1.6283,                 1.7852,                0.78893,                 0.7001,                0.76532,                0.43453,                 1.4733,                 1.4632,                 1.7467,                0.00125,                0.00125,                0.00125
                     14,                 1.4766,                 1.5795,                 1.7686,                0.77641,                0.71377,                0.77421,                0.44722,                  1.439,                 1.4365,                 1.7197,                0.00125,                0.00125,                0.00125
                     15,                 1.4623,                 1.5333,                 1.7499,                 0.8032,                0.71386,                0.78379,                0.45436,                 1.4277,                 1.3942,                  1.707,              0.0012499,              0.0012499,              0.0012499
                     16,                  1.442,                 1.4931,                 1.7315,                0.81903,                0.72782,                 0.7954,                0.45612,                 1.4396,                 1.3743,                 1.7062,              0.0012499,              0.0012499,              0.0012499
                     17,                 1.4296,                 1.4579,                 1.7195,                0.81867,                0.72696,                0.79708,                0.46597,                 1.4113,                  1.336,                 1.6772,              0.0012499,              0.0012499,              0.0012499
                     18,                 1.4193,                  1.436,                 1.7094,                0.80449,                0.74802,                0.80957,                0.47409,                 1.3933,                 1.3217,                 1.6599,              0.0012499,              0.0012499,              0.0012499
                     19,                 1.3977,                 1.3959,                 1.6889,                0.84162,                0.74322,                0.81761,                0.48216,                 1.3775,                 1.2806,                 1.6508,              0.0012499,              0.0012499,              0.0012499
                     20,                 1.3883,                 1.3718,                 1.6886,                0.82692,                0.75773,                0.81851,                0.48633,                 1.3777,                  1.269,                 1.6497,              0.0012499,              0.0012499,              0.0012499
                     21,                 1.3788,                 1.3505,                 1.6676,                0.83154,                0.75815,                0.82745,                0.49452,                 1.3547,                 1.2365,                 1.6281,              0.0012499,              0.0012499,              0.0012499
                     22,                 1.3727,                 1.3319,                  1.669,                0.81976,                0.76565,                0.82666,                0.49232,                 1.3698,                 1.2362,                 1.6416,              0.0012499,              0.0012499,              0.0012499
                     23,                 1.3662,                 1.3173,                 1.6601,                0.83929,                0.77194,                0.83571,                0.49775,                 1.3544,                 1.2004,                 1.6268,              0.0012499,              0.0012499,              0.0012499
                     24,                 1.3552,                 1.2802,                 1.6479,                0.83919,                 0.7813,                0.84178,                0.50888,                 1.3453,                 1.1719,                 1.6157,              0.0012498,              0.0012498,              0.0012498
                     25,                 1.3418,                 1.2623,                 1.6439,                0.84514,                0.78895,                 0.8474,                0.51111,                 1.3244,                 1.1684,                 1.6085,              0.0012498,              0.0012498,              0.0012498
                     26,                 1.3374,                 1.2536,                 1.6292,                0.85961,                0.79681,                0.85631,                 0.5132,                  1.332,                 1.1498,                 1.6018,              0.0012498,              0.0012498,              0.0012498
                     27,                 1.3261,                 1.2324,                 1.6252,                0.85701,                0.79718,                0.86173,                 0.5267,                 1.2949,                 1.1178,                 1.5809,              0.0012498,              0.0012498,              0.0012498
                     28,                 1.3172,                 1.2165,                 1.6126,                0.86274,                0.80322,                0.86303,                  0.524,                 1.3154,                 1.1284,                 1.5951,              0.0012498,              0.0012498,              0.0012498
                     29,                  1.308,                 1.1988,                 1.6069,                0.86574,                0.80333,                0.86303,                0.52375,                 1.3128,                 1.1157,                 1.5872,              0.0012498,              0.0012498,              0.0012498
                     30,                 1.3038,                 1.1817,                 1.6097,                0.86867,                0.80543,                0.86626,                0.53008,                 1.3002,                 1.1014,                 1.5759,              0.0012497,              0.0012497,              0.0012497
                     31,                 1.2967,                 1.1779,                 1.5993,                0.86546,                0.81052,                0.87013,                0.53536,                 1.3024,                 1.0808,                 1.5764,              0.0012497,              0.0012497,              0.0012497
                     32,                 1.2882,                 1.1611,                 1.5877,                0.87211,                0.81978,                0.87548,                0.54052,                 1.2861,                 1.0597,                  1.565,              0.0012497,              0.0012497,              0.0012497
                     33,                 1.2843,                 1.1477,                  1.586,                0.87972,                0.80801,                0.87733,                0.54132,                 1.2753,                 1.0455,                 1.5575,              0.0012497,              0.0012497,              0.0012497
                     34,                 1.2756,                 1.1378,                 1.5864,                0.88045,                0.81306,                0.87838,                0.54581,                 1.2713,                 1.0461,                 1.5519,              0.0012497,              0.0012497,              0.0012497
                     35,                 1.2739,                 1.1333,                 1.5778,                0.87515,                0.82225,                0.87843,                 0.5441,                 1.2831,                 1.0472,                 1.5609,              0.0012496,              0.0012496,              0.0012496
                     36,                 1.2649,                 1.1166,                 1.5686,                 0.8868,                0.82596,                 0.8849,                0.55048,                 1.2732,                  1.024,                 1.5523,              0.0012496,              0.0012496,              0.0012496
                     37,                 1.2616,                 1.1082,                 1.5669,                0.87078,                0.82786,                0.88166,                0.54886,                 1.2719,                  1.029,                 1.5576,              0.0012496,              0.0012496,              0.0012496
                     38,                 1.2546,                 1.0936,                 1.5588,                 0.8791,                0.82944,                0.88153,                0.55284,                 1.2659,                 1.0236,                 1.5476,              0.0012496,              0.0012496,              0.0012496
                     39,                 1.2528,                 1.0905,                 1.5624,                0.88139,                0.82837,                0.88607,                0.55614,                 1.2537,                  1.005,                 1.5416,              0.0012495,              0.0012495,              0.0012495
                     40,                 1.2453,                 1.0807,                 1.5498,                0.89253,                0.82438,                0.89101,                0.56144,                 1.2535,                  1.011,                 1.5422,              0.0012495,              0.0012495,              0.0012495
                     41,                 1.2418,                 1.0732,                 1.5495,                0.88786,                0.83862,                 0.8903,                0.55712,                 1.2527,                0.99371,                 1.5375,              0.0012495,              0.0012495,              0.0012495
                     42,                 1.2359,                 1.0606,                 1.5442,                0.88027,                 0.8404,                0.89169,                0.56187,                 1.2574,                0.99183,                 1.5321,              0.0012495,              0.0012495,              0.0012495
                     43,                 1.2271,                 1.0564,                 1.5405,                0.87594,                 0.8435,                0.89352,                0.56785,                 1.2416,                0.97866,                 1.5314,              0.0012494,              0.0012494,              0.0012494
                     44,                 1.2253,                 1.0485,                 1.5318,                0.87755,                0.84136,                0.89516,                0.56629,                  1.242,                0.97788,                 1.5272,              0.0012494,              0.0012494,              0.0012494
